ID,Prev crop,PU?,Year,State,CRD,County,Location,Fld,Latitude,Longitude,Sandy?,Muck?,Soil texture,Soil assoc.,Manure,Irrig,Hybrid,Plt date,Ntiming,Nsource,Model,a,b,c,AONR,Opt. yld,R-sq,EONR
NR-196,Soy,yes,2012,IN,SE,Jennings,SEPAC - G8,G8,39.03978632,-85.53082824,no,no,SiL,"Nabb, Oldenburg, Ryker-Muscatuck",no,no,LG2625,19-Apr,Avg,UAN,QP,57.6448,0.6633,-1.81E-03,183.6,118.5,,152
NR-197,Soy,no,2012,IN,SW,Vanderburgh,Steinkamp,EGR,,,no,no,SiCL,"Huntington, Lindside",no,no,P32B11,11-Apr,SD,NH3,QP,-100.8,3.1123,-1.14E-02,136.8,112.1,,132
NR-198,Soy,no,2012,IN,WC,Warren,Stone,,,,no,no,"SiL, SiCL","Brenton+Rainsville-Williamstown+Tuscola+Proctor, Drummer",no,no,,,SD,Urea,CR,-,-,-,-,-,,
NR-199,Soy,yes,2012,IN,WC,Tippecanoe,TPAC - ME,ME,40.27772494,-86.8632853,no,no,"SiL, SiCL","Lauramie, Drummer, Toronto-Millbrook",no,no,P0916XR,15-May,Avg,UAN,QP,80.6857,0.5,-6.32E-03,39.6,90.6,,31
NR-200,Soy,yes,2013,IN,WC,Tippecanoe,ACRE - 92,Fld 92,40.48428211,-87.00799584,no,no,SiCL,Chalmers,no,no,P1221AMX,20-May,Avg,UAN,QP,73.2425,1.3993,-3.35E-03,208.9,219.4,,192
NR-201,Soy,no,2013,IN,WC,Benton,Dimmich,74a,,,no,no,"SiCL,SiL, L","Selma, Gilboa, Crain",no,no,P0832AMX,5-May,SD,UAN,QP,161.2,0.4824,-8.20E-04,225,228.2,0.92,225
NR-202,Soy,yes,2013,IN,EC,Randolph,DPAC - M2,M2,40.24589324,-85.14994383,no,no,"SiL, SiCL","Blount, Pewamo",no,no,P1221AMX,14-May,Avg,UAN,QP,-3.0701,1.6512,-3.49E-03,236.3,192,,220
NR-203,Soy,no,2013,IN,C,Hendricks,Edmondson,,,,no,no,"SiL, SiCL","Miami, Brookston",no,no,DK 61-88,20-May,SD,UAN,PL,177.65,0.3689,,192,248.5,0.82,
NR-204,Soy,no,2013,IN,NC,Cass,Guy,Maugans,,,no,no,SiL,Cyclone,no,no,Becks 5475 AMX,13-May,SD,NH3,QP,84.7773,0.9985,-2.03E-03,246,207.6,,218
NR-205,Soy,no,2013,IN,NW,Jasper,Kingma,Kniman,,,yes,no,"S, LS","Watseka-Maumee, Zadog-Maumee",no,yes,DK61-16,3-May,SD,NH3,QP,-73.8202,2.2987,-4.36E-03,264,229.5,0.99,251
NR-206,Corn,no,2013,IN,NW,Jasper,Klemp - M.E.4,ME4,,,yes,no,LS,Watseka-Maumee,no,no,Becks 6175 AMX,,SD,UAN,QP,-40.3694,1.968,-3.49E-03,276,236.9,,266
NR-207,Soy,yes,2013,IN,NE,Whitley,NEPAC - L3,L3,41.11573437,-85.44235826,no,no,"L, SL","Haskins, Merrill, Rawson",no,no,P1221AMX,14-May,Avg,UAN,QP,26.5202,1.0074,-1.40E-03,270,196.5,,270
NR-208,Soy,no,2013,IN,EC,Henry,Pickering,1-02Ws,,,no,no,SiL,Crosby,yes,no,Ch 211-99,22-May,SD,UAN,Q,183.84,0.1511,-0.0007,107.9,192,0.61,28
NR-209,Soy,no,2013,IN,EC,Henry,Pickering,1-02Ws,,,no,no,SiCl,Cyclone,yes,no,Ch 211-99,22-May,SD,UAN,QP,197.1,0.4041,-0.00116,174.3,232.3,0.93,126
NR-210,Soy,yes,2013,IN,NW,Porter,PPAC - C4,C4,41.45141172,-86.93883777,no,no,L,Sebewa,no,no,P1221AMX,7-May,Avg,UAN,QP,87.6316,1.0312,-1.99E-03,258.9,221.1,,231
NR-211,Soy,yes,2013,IN,NW,Porter,PPAC - D south,Dsouth,,,no,no,L,Sebewa,no,no,,15-May,Plt,UAN,QP,155.1,0.5971,-1.52E-03,196.3,213.7,0.99,159
NR-212,Soy,yes,2013,IN,NW,Porter,PPAC - G,G,,,no,yes,Muck,"Edwards, Palm",no,no,,,SD,UAN,QP,100.5,0.818,-1.75E-03,233.3,195.9,,202
NR-213,Soy,yes,2013,IN,SE,Jennings,SEPAC - G5,G5,39.04346949,-85.52707314,no,no,SiL,"Avonburg, Naab, Ryker-Muscatatuck ",no,no,P1498HR,1-May,Avg,UAN,QP,61.3462,1.3479,-2.90E-03,232.2,217.9,,213
NR-214,Soy,no,2013,IN,C,Shelby,Simpson,MS,,,no,no,"SiCL, SiL","Brookston, Crosby",no,no,Ch 214-13,2-May,SD,UAN,PL,167.41,0.2674,,221,226.5,0.94,221
NR-215,Corn,no,2013,IN,SW,Vanderburgh,Steinkamp,EGR,,,no,no,SiCL,"Huntington, Lindside",no,no,P32B16 white,29-May,SD,NH3,QP,128.6,1.0724,-0.00293,182.9,226.6,0.95,164
NR-216,Soy,yes,2013,IN,SW,Knox,SWPAC - 23,Fld 23,38.74521394,-87.48169541,yes,no,"LfS, fSL, SiCL","Ade, Lyles, Petrolia",no,no,P1498HR,29-May,21-Jun,UAN,QP,83.2491,1.6937,-7.57E-03,111.9,178,,104
NR-217,Soy,yes,2013,IN,WC,Tippecanoe,TPAC - MS5,MS5,40.26826214,-86.87759757,no,no,SiCl/SiL,"Throckmorton, Toronto-Millbrook, Drummer",no,no,P1221AMX,23-May,Avg,UAN,QP,118.5,1.2209,-3.51E-03,173.7,224.5,,158
NR-218,Soy,yes,2014,IN,WC,Tippecanoe,ACRE - 93,Fld 93,40.485245,-87.00806022,no,no,SiCL,Chalmers,no,no,P1221AMXT,30-Apr,29-May,UAN,QP,94.4364,0.9665,-1.84E-03,262.4,221.2,0.99,232
NR-219,Soy,no,2014,IN,WC,Benton,Dimmich,47a,,,no,no,"SiCL, SiL","Selma, Gilboa, Barce",no,no,P0945AMX,20-Apr,SD,UAN,QP,57.9446,2.3265,-7.33E-03,158.8,242.7,0.88,151
NR-220,Soy,yes,2014,IN,EC,Randolph,DPAC - P,P,40.24032442,-85.14972925,no,no,"SiL, SiCL","Blount, Pewamo",no,no,P1221AMXT,24-May,24-Jun,UAN,QP,-26.0901,1.5408,-2.66E-03,270,197.3,0.99,269
NR-221,Soy,yes,2014,IN,EC,Randolph,DPAC - P,P,40.24032442,-85.14972925,no,no,"SiL, SiCL","Blount, Pewamo",no,no,P1221AMXT,24-May,24-May,UAN,PL,4.3425,0.621,,270,172,0.98,270
